size temperature mag energy mag_sus sp_heat
10 2.8 0.341176 -93.096 1.72363 0.62068 
10 2.82 0.335938 -91.888 1.68134 0.592554 
10 2.82 0.34529 -93.114 1.69536 0.589285 
10 2.82 0.334424 -91.3668 1.6755 0.612316 
10 2.82 0.33721 -92.0424 1.70382 0.597223 
10 2.82 0.333678 -91.4772 1.65357 0.58785 
10 2.84 0.329936 -90.7524 1.59994 0.559901 
10 2.84 0.325412 -90.5796 1.60238 0.56444 
10 2.84 0.319962 -89.6632 1.59264 0.574515 
10 2.84 0.324826 -90.0448 1.59432 0.574372 
10 2.84 0.329438 -91.0936 1.62263 0.577541 
10 2.86 0.323544 -89.8808 1.5849 0.557045 
10 2.86 0.319972 -89.3572 1.54779 0.538056 
10 2.86 0.31696 -89.2344 1.53126 0.552093 
10 2.86 0.319582 -89.5396 1.55556 0.558109 
10 2.86 0.320726 -89.1724 1.53621 0.565684 
10 2.88 0.315316 -89.0408 1.52075 0.542996 
10 2.88 0.31901 -88.9696 1.5115 0.529391 
10 2.88 0.311934 -88.42 1.49383 0.535092 
10 2.88 0.314492 -88.6064 1.48602 0.510706 
10 2.88 0.316224 -88.3848 1.48092 0.524918 
10 2.9 0.307432 -87.6088 1.45259 0.525801 
10 2.9 0.310634 -88.062 1.46239 0.513169 
10 2.9 0.304036 -87.012 1.42695 0.51695 
10 2.9 0.307418 -87.6524 1.43741 0.512201 
10 2.9 0.300038 -86.1328 1.38686 0.509734 
10 2.92 0.299432 -85.674 1.37456 0.495552 
10 2.92 0.301844 -86.052 1.40982 0.507803 
10 2.92 0.30108 -86.2084 1.37857 0.490611 
10 2.92 0.300222 -86.55 1.38469 0.496778 
10 2.92 0.298698 -86.1164 1.38286 0.501928 
10 2.94 0.2916 -85.2712 1.33141 0.461386 
10 2.94 0.294556 -85.3308 1.33661 0.492291 
10 2.94 0.299544 -86.5164 1.39303 0.487203 
10 2.94 0.297802 -85.2032 1.34773 0.482697 
10 2.94 0.297042 -85.566 1.35 0.48558 
10 2.96 0.288216 -83.9872 1.28361 0.466475 
10 2.96 0.284344 -83.9236 1.3025 0.46379 
10 2.96 0.287708 -84.744 1.29291 0.445975 
10 2.96 0.28902 -84.266 1.28148 0.463511 
10 2.96 0.283206 -83.3156 1.26864 0.469796 
10 2.98 0.28151 -83.1168 1.27941 0.481903 
10 2.98 0.284378 -83.706 1.2578 0.45063 
10 2.98 0.282014 -83.5228 1.28067 0.463043 
10 2.98 0.282018 -83.05 1.24842 0.450144 
10 2.98 0.27955 -82.7568 1.23619 0.45252 
10 3 0.276424 -82.484 1.20358 0.44519 
10 3 0.281044 -83.4792 1.23875 0.446614 
10 3 0.282526 -83.4596 1.22511 0.429235 
10 3 0.273752 -81.514 1.19388 0.443286 
10 3 0.274654 -82.1244 1.19238 0.418287 
20 1.5 0.986334 -780.258 0.0279338 0.200589 
20 1.5 0.986459 -780.388 0.0271593 0.199422 
20 1.5 0.986617 -780.662 0.0268923 0.193844 
20 1.5 0.986561 -780.535 0.0271798 0.198159 
20 1.5 0.986626 -780.659 0.0275485 0.197928 
20 1.52 0.985292 -778.835 0.0299736 0.209447 
20 1.52 0.985174 -778.644 0.0303426 0.211933 
20 1.52 0.985342 -778.86 0.0295705 0.208988 
20 1.52 0.985361 -778.929 0.029846 0.20821 
20 1.52 0.985368 -778.888 0.0293104 0.209268 
20 1.54 0.984138 -777.192 0.0314148 0.216981 
20 1.54 0.983996 -777.039 0.0324109 0.220167 
20 1.54 0.983951 -777.011 0.0336891 0.229342 
20 1.54 0.984005 -777.088 0.0329026 0.223312 
20 1.54 0.984079 -777.189 0.0321923 0.217448 
20 1.56 0.982715 -775.299 0.0349163 0.234827 
20 1.56 0.982476 -775.074 0.0360806 0.233479 
20 1.56 0.982738 -775.36 0.0352918 0.234221 
20 1.56 0.982502 -775.086 0.0363333 0.23557 
20 1.56 0.982735 -775.388 0.0360832 0.235624 
20 1.58 0.981385 -773.588 0.0382384 0.24199 
20 1.58 0.981284 -773.515 0.0404741 0.252612 
20 1.58 0.980999 -773.046 0.0403806 0.257139 
20 1.58 0.981039 -773.204 0.040333 0.249745 
20 1.58 0.981 -773.068 0.0391215 0.248729 
20 1.6 0.979525 -771.229 0.0447831 0.266628 
20 1.6 0.979598 -771.314 0.0436816 0.261338 
20 1.6 0.979839 -771.514 0.042021 0.261326 
20 1.6 0.979696 -771.341 0.0422494 0.262715 
20 1.6 0.979465 -771.144 0.0438084 0.26238 
20 1.62 0.977835 -768.982 0.0473475 0.278391 
20 1.62 0.978053 -769.315 0.04728 0.27805 
20 1.62 0.977624 -768.683 0.0477678 0.277189 
20 1.62 0.977952 -769.235 0.0476359 0.274645 
20 1.62 0.97771 -768.869 0.0493705 0.285847 
20 1.64 0.976129 -766.813 0.0530126 0.295495 
20 1.64 0.976329 -766.978 0.0517719 0.289878 
20 1.64 0.976143 -766.812 0.0520256 0.292041 
20 1.64 0.976001 -766.643 0.0525605 0.296231 
20 1.64 0.976313 -767.152 0.0522759 0.294165 
20 1.66 0.973946 -764.117 0.0587058 0.314203 
20 1.66 0.974521 -764.817 0.0566736 0.305686 
20 1.66 0.974576 -764.786 0.0568502 0.314976 
20 1.66 0.974344 -764.54 0.0577862 0.308743 
20 1.66 0.974195 -764.48 0.0586101 0.312598 
20 1.68 0.972506 -762.276 0.0611798 0.323008 
20 1.68 0.972065 -761.867 0.0656776 0.32512 
20 1.68 0.972269 -762.069 0.063179 0.323587 
20 1.68 0.972328 -762.108 0.0637108 0.323561 
20 1.68 0.972167 -761.78 0.0622665 0.330382 
20 1.7 0.970002 -759.176 0.0697882 0.343905 
20 1.7 0.970156 -759.434 0.0690807 0.339472 
20 1.7 0.970016 -759.195 0.0701452 0.344537 
20 1.7 0.970237 -759.452 0.0679609 0.340317 
20 1.7 0.969984 -759.153 0.0712929 0.347789 
20 1.72 0.967869 -756.598 0.0760787 0.356567 
20 1.72 0.967642 -756.342 0.0765395 0.358446 
20 1.72 0.967667 -756.362 0.07624 0.358914 
20 1.72 0.968053 -756.721 0.0749043 0.361052 
20 1.72 0.968158 -756.806 0.0759947 0.364719 
20 1.74 0.965569 -753.819 0.0826513 0.374773 
20 1.74 0.965432 -753.572 0.0809893 0.375658 
20 1.74 0.965007 -753.2 0.0868546 0.38659 
20 1.74 0.965359 -753.576 0.0822111 0.371758 
20 1.74 0.96521 -753.419 0.0836692 0.377256 
20 1.76 0.96237 -750.145 0.0946791 0.401827 
20 1.76 0.962777 -750.514 0.0921348 0.394606 
20 1.76 0.96286 -750.43 0.091824 0.398849 
20 1.76 0.962965 -750.632 0.0893314 0.394037 
20 1.76 0.962734 -750.638 0.096858 0.401777 
20 1.78 0.959877 -747.167 0.0999674 0.414181 
20 1.78 0.959846 -747.113 0.10328 0.422456 
20 1.78 0.960116 -747.401 0.0996925 0.414931 
20 1.78 0.959542 -746.901 0.106192 0.424455 
20 1.78 0.959837 -747.149 0.103258 0.419114 
20 1.8 0.956749 -743.75 0.116856 0.433974 
20 1.8 0.956721 -743.574 0.117459 0.442461 
20 1.8 0.956898 -743.846 0.114351 0.438038 
20 1.8 0.95728 -744.244 0.113139 0.43556 
20 1.8 0.956725 -743.55 0.114468 0.443918 
20 1.82 0.953725 -740.24 0.126622 0.47228 
20 1.82 0.953951 -740.316 0.122991 0.456299 
20 1.82 0.953544 -740.056 0.127997 0.462198 
20 1.82 0.953905 -740.511 0.126381 0.458203 
20 1.82 0.953318 -739.809 0.12882 0.46002 
20 1.84 0.950514 -736.736 0.143429 0.480759 
20 1.84 0.950111 -736.251 0.142197 0.493167 
20 1.84 0.950017 -736.292 0.141375 0.479075 
20 1.84 0.950419 -736.701 0.146835 0.489244 
20 1.84 0.950251 -736.313 0.134496 0.4742 
20 1.86 0.946339 -731.99 0.157208 0.524229 
20 1.86 0.946532 -732.414 0.160452 0.51342 
20 1.86 0.946576 -732.247 0.157202 0.516742 
20 1.86 0.946829 -732.694 0.155205 0.510158 
20 1.86 0.946332 -732.118 0.156892 0.498124 
