size temperature m m2 m4 ms e sp_h 
10 1.95 0.969946 0.942227 0.8927 0.073444 -208.676 0.361792 
10 1.95 0.96978 0.941921 0.892127 0.0742457 -208.615 0.359287 
10 1.95 0.970078 0.94256 0.893472 0.0773494 -208.719 0.362862 
10 1.955 0.96913 0.940767 0.890068 0.0794702 -208.401 0.363612 
10 1.955 0.969534 0.94153 0.891664 0.078438 -208.628 0.364331 
10 1.955 0.96938 0.941226 0.891045 0.078188 -208.563 0.364224 
10 1.96 0.968476 0.939505 0.887903 0.0795386 -208.177 0.374783 
10 1.96 0.969462 0.941327 0.891133 0.0750016 -208.563 0.367168 
10 1.96 0.967174 0.93754 0.885116 0.107874 -208.024 0.388924 
10 1.965 0.968356 0.939318 0.887693 0.0816742 -208.166 0.38139 
10 1.965 0.967822 0.93839 0.886265 0.0870421 -208.099 0.388755 
10 1.965 0.967642 0.93811 0.885874 0.0905221 -207.998 0.395186 
10 1.97 0.967068 0.936914 0.883442 0.0859839 -207.815 0.385782 
10 1.97 0.967686 0.938056 0.885455 0.0832368 -208.014 0.378892 
10 1.97 0.967162 0.937117 0.883785 0.0870307 -207.779 0.389568 
10 1.975 0.9661 0.935235 0.8807 0.0954891 -207.484 0.398736 
10 1.975 0.966742 0.93632 0.882409 0.0876124 -207.727 0.384434 
10 1.975 0.966306 0.9355 0.881012 0.0887471 -207.562 0.395581 
10 1.98 0.966218 0.935297 0.880554 0.0868695 -207.515 0.390449 
10 1.98 0.96688 0.936562 0.88285 0.0861104 -207.752 0.3818 
10 1.98 0.966698 0.936152 0.881941 0.0831625 -207.617 0.388529 
10 1.985 0.965624 0.934149 0.878447 0.0866041 -207.284 0.391452 
10 1.985 0.965174 0.93348 0.877728 0.0966967 -207.254 0.414541 
10 1.985 0.965608 0.93423 0.878807 0.0922353 -207.313 0.404964 
10 1.99 0.964692 0.932594 0.876149 0.0986686 -207.115 0.411712 
10 1.99 0.965484 0.933992 0.878374 0.0921048 -207.241 0.401616 
10 1.99 0.965412 0.933915 0.878336 0.0952236 -207.317 0.3986 
10 1.995 0.964544 0.932201 0.875183 0.0930041 -206.917 0.411266 
10 1.995 0.964408 0.932189 0.8754 0.105588 -206.941 0.414982 
10 1.995 0.965084 0.933279 0.877141 0.0948207 -207.112 0.397032 
10 2 0.963968 0.93119 0.873493 0.0977887 -206.807 0.406482 
10 2 0.963674 0.930606 0.872502 0.0969031 -206.706 0.423795 
10 2 0.963528 0.930351 0.872045 0.0982497 -206.675 0.415283 
10 2.005 0.962712 0.928887 0.869603 0.103366 -206.461 0.422802 
10 2.005 0.9629 0.929246 0.870258 0.103241 -206.512 0.431148 
10 2.005 0.9624 0.928245 0.868373 0.101331 -206.326 0.427912 
10 2.01 0.961608 0.927206 0.867014 0.125193 -206.207 0.42989 
10 2.01 0.962446 0.928426 0.868702 0.105651 -206.293 0.411482 
10 2.01 0.961672 0.926937 0.866181 0.105684 -206.11 0.432819 
10 2.015 0.961774 0.927183 0.86666 0.107891 -206.115 0.427615 
10 2.015 0.962212 0.92801 0.868218 0.107108 -206.294 0.430041 
10 2.015 0.961016 0.925857 0.864386 0.11441 -205.941 0.4323 
10 2.02 0.960182 0.92439 0.862161 0.120808 -205.665 0.463044 
10 2.02 0.961594 0.926812 0.866014 0.106391 -206.062 0.433265 
10 2.02 0.961094 0.92587 0.864299 0.107337 -205.829 0.445118 
10 2.025 0.959972 0.92378 0.860656 0.110305 -205.468 0.454925 
10 2.025 0.960356 0.924513 0.861952 0.11007 -205.663 0.445648 
10 2.025 0.959894 0.923784 0.861017 0.117908 -205.6 0.449989 
10 2.03 0.959618 0.923287 0.860083 0.119238 -205.414 0.457924 
10 2.03 0.959912 0.923822 0.860945 0.117773 -205.601 0.439926 
10 2.03 0.958332 0.920991 0.856262 0.127607 -205.188 0.457314 
10 2.035 0.957326 0.919098 0.852963 0.128975 -204.83 0.471812 
10 2.035 0.959412 0.922841 0.859162 0.116453 -205.35 0.449931 
10 2.035 0.958178 0.920692 0.855757 0.127143 -205.085 0.464042 
10 2.04 0.957644 0.919609 0.853706 0.123857 -204.879 0.469483 
10 2.04 0.9576 0.919696 0.854056 0.132251 -204.826 0.466437 
10 2.04 0.958284 0.920669 0.855238 0.115738 -204.975 0.452719 
10 2.045 0.956604 0.917769 0.850757 0.130937 -204.534 0.485639 
10 2.045 0.957064 0.918731 0.852484 0.134941 -204.752 0.476482 
10 2.045 0.956006 0.917009 0.849926 0.149688 -204.538 0.487215 
10 2.05 0.956166 0.917158 0.849888 0.141704 -204.536 0.478433 
10 2.05 0.957042 0.918553 0.851916 0.127993 -204.652 0.46431 
10 2.05 0.956168 0.916886 0.849083 0.128224 -204.466 0.475796 
10 2.055 0.955854 0.916405 0.848406 0.133733 -204.417 0.474899 
10 2.055 0.955784 0.916037 0.847233 0.122347 -204.206 0.475992 
10 2.055 0.955464 0.915705 0.847253 0.135921 -204.262 0.488064 
10 2.06 0.955144 0.915084 0.845963 0.135154 -204.116 0.476926 
10 2.06 0.954886 0.914735 0.845614 0.142138 -204.009 0.493196 
10 2.06 0.95442 0.913844 0.843973 0.142038 -203.894 0.491052 
10 2.065 0.953092 0.911525 0.840497 0.152095 -203.63 0.501869 
10 2.065 0.95472 0.914561 0.845707 0.14869 -204.026 0.500575 
10 2.065 0.95445 0.913751 0.843591 0.134421 -203.837 0.480996 
10 2.07 0.952742 0.910999 0.839516 0.158539 -203.486 0.507217 
10 2.07 0.953258 0.911817 0.840587 0.150548 -203.6 0.483076 
10 2.07 0.953242 0.911714 0.840517 0.147044 -203.529 0.504272 
10 2.075 0.952266 0.910074 0.837785 0.157258 -203.252 0.508212 
10 2.075 0.9515 0.908534 0.835002 0.153345 -203.078 0.504969 
10 2.075 0.951606 0.908958 0.836213 0.164059 -203.18 0.524254 
10 2.08 0.950942 0.907551 0.833483 0.156746 -202.932 0.506735 
10 2.08 0.950824 0.907341 0.833176 0.157425 -202.882 0.520744 
10 2.08 0.952176 0.909804 0.83718 0.152161 -203.242 0.50403 
10 2.085 0.95017 0.906188 0.831227 0.161399 -202.677 0.523078 
10 2.085 0.95122 0.907998 0.834274 0.152443 -202.922 0.519664 
10 2.085 0.950276 0.906391 0.83155 0.161477 -202.641 0.526186 
10 2.09 0.949038 0.904225 0.827982 0.16995 -202.394 0.516781 
10 2.09 0.9503 0.906507 0.831921 0.164463 -202.717 0.522038 
10 2.09 0.949836 0.905458 0.829863 0.156454 -202.574 0.523306 
10 2.095 0.948388 0.9031 0.826393 0.174734 -202.127 0.547121 
