size temperature m mag_sus 
10 2.07 0.951936 0.158772 
10 2.07 0.953498 0.157527 
10 2.075 0.952718 0.157928 
10 2.075 0.95258 0.144184 
10 2.075 0.951532 0.162763 
10 2.075 0.952146 0.166699 
10 2.075 0.951714 0.158914 
10 2.08 0.951194 0.150512 
10 2.08 0.951312 0.152386 
10 2.08 0.951314 0.159302 
10 2.08 0.951642 0.155101 
10 2.08 0.95182 0.147425 
10 2.085 0.950748 0.150151 
10 2.085 0.94961 0.174926 
10 2.085 0.950734 0.158505 
10 2.085 0.95131 0.154435 
10 2.085 0.949998 0.172796 
10 2.09 0.9483 0.167559 
10 2.09 0.949916 0.169959 
10 2.09 0.949402 0.1557 
10 2.09 0.94925 0.172662 
10 2.09 0.950402 0.154576 
10 2.095 0.947538 0.17702 
10 2.095 0.947296 0.204027 
10 2.095 0.947238 0.187791 
10 2.095 0.947818 0.187725 
10 2.095 0.947988 0.181103 
10 2.1 0.946778 0.176481 
10 2.1 0.94727 0.182007 
10 2.1 0.947124 0.178772 
10 2.1 0.948332 0.180123 
10 2.1 0.946548 0.18368 
10 2.105 0.947122 0.17043 
10 2.105 0.945548 0.182861 
10 2.105 0.946138 0.184048 
10 2.105 0.947298 0.179028 
10 2.105 0.946806 0.183629 
10 2.11 0.945158 0.199954 
10 2.11 0.945728 0.190236 
10 2.11 0.94503 0.210628 
10 2.11 0.945998 0.165091 
10 2.11 0.944446 0.194932 
10 2.115 0.94442 0.208843 
10 2.115 0.943558 0.204616 
10 2.115 0.94557 0.179906 
10 2.115 0.944124 0.192353 
10 2.115 0.945344 0.196751 
10 2.12 0.943344 0.202635 
10 2.12 0.944526 0.195013 
10 2.12 0.94184 0.223414 
10 2.12 0.94263 0.219898 
10 2.12 0.94407 0.210847 
10 2.125 0.942806 0.213613 
10 2.125 0.942512 0.211743 
10 2.125 0.941366 0.216825 
10 2.125 0.941892 0.216396 
10 2.125 0.944274 0.195528 
10 2.13 0.941586 0.194453 
10 2.13 0.941882 0.203054 
10 2.13 0.941672 0.202261 
10 2.13 0.942212 0.196916 
10 2.13 0.941612 0.226759 
10 2.135 0.94123 0.202059 
10 2.135 0.939804 0.211753 
10 2.135 0.9401 0.209356 
10 2.135 0.938658 0.234881 
10 2.135 0.940812 0.213957 
10 2.14 0.93904 0.237422 
10 2.14 0.938618 0.229707 
10 2.14 0.939576 0.222429 
10 2.14 0.938744 0.22221 
10 2.14 0.938146 0.238069 
10 2.145 0.937726 0.233834 
10 2.145 0.936814 0.257983 
10 2.145 0.93817 0.229653 
10 2.145 0.937246 0.249256 
10 2.145 0.937618 0.243228 
10 2.15 0.936396 0.241517 
10 2.15 0.93629 0.245691 
10 2.15 0.937346 0.233174 
10 2.15 0.937616 0.236908 
10 2.15 0.936136 0.245188 
10 2.155 0.93667 0.226594 
10 2.155 0.936156 0.241156 
10 2.155 0.935758 0.229088 
10 2.155 0.935744 0.249246 
10 2.155 0.936192 0.241217 
10 2.16 0.934756 0.240723 
10 2.16 0.935448 0.247744 
10 2.16 0.934794 0.241425 
10 2.16 0.934978 0.238838 
10 2.16 0.934628 0.243579 
10 2.165 0.933528 0.251734 
10 2.165 0.933222 0.267814 
10 2.165 0.932656 0.295072 
10 2.165 0.934762 0.236148 
10 2.165 0.93253 0.265105 
10 2.17 0.932646 0.280743 
10 2.17 0.93146 0.294095 
10 2.17 0.930766 0.30276 
10 2.17 0.93248 0.274688 
10 2.17 0.932504 0.260821 
10 2.175 0.929954 0.302323 
10 2.175 0.930188 0.277361 
10 2.175 0.930636 0.277811 
10 2.175 0.931268 0.274192 
10 2.175 0.93051 0.275192 
10 2.18 0.930012 0.273648 
10 2.18 0.929502 0.305493 
10 2.18 0.930046 0.274084 
10 2.18 0.93056 0.274121 
10 2.18 0.928738 0.311046 
10 2.185 0.929394 0.280126 
10 2.185 0.928486 0.295734 
10 2.185 0.929768 0.288638 
10 2.185 0.927204 0.320199 
10 2.185 0.928256 0.301118 
10 2.19 0.92603 0.32431 
10 2.19 0.925702 0.337209 
10 2.19 0.926802 0.294324 
10 2.19 0.926446 0.30422 
10 2.19 0.92692 0.307114 
10 2.195 0.92658 0.296571 
10 2.195 0.926392 0.298221 
10 2.195 0.924818 0.328103 
10 2.195 0.923798 0.358095 
10 2.195 0.925426 0.314349 
10 2.2 0.92241 0.335029 
10 2.2 0.923804 0.350248 
10 2.2 0.923712 0.338956 
10 2.2 0.924552 0.328473 
10 2.2 0.924358 0.320113 
10 2.205 0.92224 0.33993 
10 2.205 0.921554 0.350851 
10 2.205 0.923018 0.321323 
10 2.205 0.922094 0.338952 
10 2.205 0.921986 0.352657 
10 2.21 0.921346 0.352713 
10 2.21 0.919856 0.362631 
10 2.21 0.92141 0.335785 
10 2.21 0.921816 0.355818 
10 2.21 0.919638 0.396966 
10 2.215 0.920706 0.340877 
10 2.215 0.917788 0.399172 
10 2.215 0.92103 0.341036 
10 2.215 0.919526 0.363658 
10 2.215 0.918434 0.369719 
10 2.22 0.918222 0.384969 
10 2.22 0.916936 0.396233 
10 2.22 0.918012 0.369984 
10 2.22 0.91535 0.385767 
10 2.22 0.918354 0.380409 
10 2.225 0.91677 0.399328 
10 2.225 0.915976 0.376527 
10 2.225 0.916964 0.396141 
10 2.225 0.917212 0.371746 
10 2.225 0.91531 0.402537 
10 2.23 0.915838 0.374403 
10 2.23 0.912488 0.430847 
