J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.665 0.991574 0.983427 0.967921 0.0124878 -231.216 0.139212 
0.1 0.075 1.665 0.991848 0.983957 0.968915 0.011682 -231.317 0.13405 
0.1 0.075 1.67 0.99155 0.983383 0.967848 0.0126801 -231.207 0.13975 
0.1 0.075 1.67 0.991408 0.983094 0.967253 0.0122166 -231.111 0.140032 
0.1 0.075 1.675 0.99128 0.982849 0.966804 0.0127356 -231.074 0.141058 
0.1 0.075 1.675 0.991272 0.982836 0.966792 0.0129136 -231.083 0.143634 
0.1 0.075 1.68 0.99117 0.982633 0.966386 0.0127947 -231.035 0.14067 
0.1 0.075 1.68 0.991302 0.982888 0.966864 0.0123991 -231.081 0.139594 
0.1 0.075 1.685 0.990838 0.981994 0.965201 0.013893 -230.89 0.151849 
0.1 0.075 1.685 0.991096 0.982498 0.966165 0.0134741 -231.012 0.146416 
0.1 0.075 1.69 0.990964 0.982232 0.965627 0.0131568 -230.944 0.144879 
0.1 0.075 1.69 0.990794 0.981895 0.964962 0.0131272 -230.852 0.145838 
0.1 0.075 1.695 0.990356 0.981052 0.963402 0.0145908 -230.674 0.158662 
0.1 0.075 1.695 0.99066 0.98164 0.964502 0.0137371 -230.818 0.14856 
0.1 0.075 1.7 0.990242 0.980823 0.962938 0.014326 -230.629 0.154848 
0.1 0.075 1.7 0.990184 0.980703 0.962682 0.0140121 -230.594 0.151411 
0.1 0.075 1.705 0.990122 0.980587 0.962485 0.0144085 -230.577 0.155746 
0.1 0.075 1.705 0.990266 0.980869 0.96302 0.0141988 -230.638 0.150036 
0.1 0.075 1.71 0.990216 0.980762 0.962784 0.0136721 -230.602 0.149896 
0.1 0.075 1.71 0.990348 0.981037 0.963371 0.0144725 -230.672 0.15456 
0.1 0.075 1.715 0.98972 0.979802 0.960984 0.0149365 -230.394 0.160987 
0.1 0.075 1.715 0.989796 0.979956 0.961297 0.0151579 -230.442 0.159261 
0.1 0.075 1.72 0.98965 0.97967 0.960751 0.0152999 -230.376 0.160756 
0.1 0.075 1.72 0.989936 0.980224 0.961794 0.0145998 -230.487 0.157687 
0.1 0.075 1.725 0.989664 0.979701 0.960819 0.0154323 -230.378 0.161346 
0.1 0.075 1.725 0.989394 0.979161 0.959743 0.015079 -230.259 0.160032 
0.1 0.075 1.73 0.989022 0.97844 0.958386 0.0159123 -230.087 0.168498 
0.1 0.075 1.73 0.989382 0.979151 0.959773 0.0158438 -230.259 0.165455 
0.1 0.075 1.735 0.98936 0.979109 0.959695 0.0159211 -230.26 0.161593 
0.1 0.075 1.735 0.98888 0.978162 0.957857 0.0160706 -230.038 0.167107 
0.1 0.075 1.74 0.988716 0.977846 0.957263 0.0164478 -229.971 0.169163 
0.1 0.075 1.74 0.989044 0.978487 0.958494 0.0160486 -230.109 0.166427 
0.1 0.075 1.745 0.988426 0.977277 0.956172 0.0166832 -229.818 0.176458 
0.1 0.075 1.745 0.988646 0.977712 0.95702 0.0166743 -229.939 0.171224 
0.1 0.075 1.75 0.98843 0.977293 0.956234 0.0171209 -229.855 0.174955 
0.1 0.075 1.75 0.988582 0.977584 0.956763 0.0165388 -229.892 0.171336 
0.1 0.075 1.755 0.988212 0.976864 0.955399 0.0171398 -229.758 0.174574 
0.1 0.075 1.755 0.988482 0.977387 0.956384 0.0165525 -229.863 0.169829 
0.1 0.075 1.76 0.988388 0.977205 0.956046 0.0167387 -229.824 0.172999 
0.1 0.075 1.76 0.987934 0.97632 0.954361 0.0174257 -229.619 0.179964 
0.1 0.075 1.765 0.98829 0.977019 0.955703 0.0170808 -229.781 0.173559 
0.1 0.075 1.765 0.987798 0.97605 0.953827 0.017289 -229.549 0.178693 
0.1 0.075 1.77 0.987688 0.97584 0.953443 0.0176505 -229.512 0.180205 
0.1 0.075 1.77 0.98796 0.97637 0.95445 0.0172248 -229.647 0.173401 
