J2 J3 temperature m m2 m4 ms e sp_h 
0.1 0.075 1.675 0.991042 0.982384 0.965914 0.0130982 -230.968 0.147871 
0.1 0.075 1.68 0.991054 0.982411 0.965978 0.0132577 -230.985 0.145021 
0.1 0.075 1.68 0.991324 0.982937 0.966982 0.0127433 -231.096 0.14228 
0.1 0.075 1.685 0.990772 0.981856 0.964905 0.013472 -230.853 0.148966 
0.1 0.075 1.685 0.991234 0.982759 0.966634 0.0127286 -231.051 0.142497 
0.1 0.075 1.69 0.990664 0.98165 0.964529 0.0138863 -230.824 0.15045 
0.1 0.075 1.69 0.990802 0.981914 0.965012 0.0133158 -230.871 0.146756 
0.1 0.075 1.695 0.990618 0.981554 0.964325 0.0135751 -230.8 0.147981 
0.1 0.075 1.695 0.990712 0.981741 0.964695 0.0136338 -230.831 0.148296 
0.1 0.075 1.7 0.990542 0.981408 0.964054 0.0137945 -230.754 0.151192 
0.1 0.075 1.7 0.990364 0.981061 0.963395 0.0141381 -230.687 0.152933 
0.1 0.075 1.705 0.990466 0.981259 0.963765 0.0138289 -230.711 0.1513 
0.1 0.075 1.705 0.989902 0.980157 0.961663 0.0147373 -230.481 0.158955 
0.1 0.075 1.71 0.990222 0.980791 0.962905 0.0147106 -230.633 0.15673 
0.1 0.075 1.71 0.990142 0.980622 0.962535 0.014076 -230.57 0.153587 
0.1 0.075 1.715 0.989736 0.979835 0.961051 0.0149977 -230.399 0.16103 
0.1 0.075 1.715 0.98972 0.979808 0.961017 0.0152911 -230.405 0.16244 
0.1 0.075 1.72 0.9897 0.979761 0.960902 0.0148366 -230.388 0.159737 
0.1 0.075 1.72 0.990008 0.980363 0.962054 0.0143907 -230.518 0.155379 
0.1 0.075 1.725 0.989284 0.978949 0.959349 0.0154091 -230.213 0.16413 
0.1 0.075 1.725 0.989454 0.979283 0.959994 0.0152824 -230.287 0.160974 
0.1 0.075 1.73 0.989176 0.978749 0.959006 0.0161735 -230.165 0.168039 
0.1 0.075 1.73 0.989322 0.979031 0.959534 0.01577 -230.229 0.166048 
0.1 0.075 1.735 0.98918 0.978753 0.959003 0.0159105 -230.174 0.165319 
0.1 0.075 1.735 0.989412 0.979196 0.959812 0.0149887 -230.237 0.161459 
