size temperature m m2 m4 ms 
16 2.299 0.674037 0.497167 0.30062 4.77051 
16 2.3 0.66698 0.488681 0.292785 4.87709 
16 2.3 0.674524 0.49698 0.299583 4.67441 
16 2.3 0.669877 0.492534 0.296657 4.87509 
16 2.3 0.677964 0.501431 0.304497 4.65209 
16 2.3 0.669795 0.491987 0.295127 4.8263 
16 2.301 0.669923 0.492882 0.297635 4.90483 
16 2.301 0.66786 0.490139 0.294196 4.90656 
16 2.301 0.667797 0.489767 0.293972 4.87457 
16 2.301 0.666635 0.488861 0.292857 4.94629 
16 2.301 0.663946 0.485874 0.290385 5.01202 
16 2.302 0.668484 0.490424 0.293621 4.84338 
16 2.302 0.667987 0.490375 0.294335 4.91194 
16 2.302 0.667948 0.489569 0.293434 4.8281 
16 2.302 0.669175 0.492094 0.296569 4.92637 
16 2.302 0.668631 0.490377 0.293785 4.81633 
